SourceFile,AnnotationUsageRights,Author,Comments,Company,CreateDate,Creator,CreatorSubTool,CreatorTool,DerivedFromDocumentID,DerivedFromInstanceID,DerivedFromOriginalDocumentID,DerivedFromRenditionClass,Description,Directory,DocChangeCount,DocumentID,DocumentUsageRights,ExifToolVersion,FileAccessDate,FileInodeChangeDate,FileModifyDate,FileName,FilePermissions,FileSize,FileType,FileTypeExtension,FontComposite,FontFace,FontFamily,FontFileName,FontName,FontType,FontVersion,Format,FormUsageRights,HasVisibleOverprint,HasVisibleTransparency,HasXFA,HistoryAction,HistoryChanged,HistoryInstanceID,HistoryParameters,HistorySoftwareAgent,HistoryWhen,IngredientsDocumentID,IngredientsFilePath,IngredientsInstanceID,InstanceID,Keywords,Language,Linearized,ManifestLinkForm,ManifestPlacedResolutionUnit,ManifestPlacedXResolution,ManifestPlacedYResolution,ManifestReferenceDocumentID,ManifestReferenceFilePath,ManifestReferenceInstanceID,MaxPageSizeH,MaxPageSizeUnit,MaxPageSizeW,MetadataDate,MIMEType,ModifyDate,NPages,OriginalDocumentID,PageCount,PageImage,PageImageFormat,PageImageHeight,PageImagePageNumber,PageImageWidth,PageLayout,PDFVersion,PlateNames,Producer,RenditionClass,SignatureUsageRights,SigningAuthority,SigningDate,SourceModified,StartupProfile,State,Subject,SwatchColorantBlue,SwatchColorantGreen,SwatchColorantMode,SwatchColorantRed,SwatchColorantSwatchName,SwatchColorantTint,SwatchColorantType,SwatchGroupName,SwatchGroupType,TaggedPDF,ThumbnailFormat,ThumbnailHeight,ThumbnailImage,ThumbnailWidth,Title,Trapped,Version,XMPToolkit
390948.pdf,,,,,2013:08:26 16:18:11-05:00,Adobe InDesign CS6 (Macintosh),,Adobe InDesign CS6 (Macintosh),xmp.did:FE5C9AAB072068118083CBA207007C59,xmp.iid:C71823C82F2068118083CBA207007C59,adobe:docid:indd:63f10e75-5521-11df-a00a-9b9688600051,default,,.,,xmp.id:C81823C82F2068118083CBA207007C59,,10.80,2024:04:18 13:18:34-04:00,2024:04:18 13:18:35-04:00,2024:04:18 13:18:35-04:00,390948.pdf,rw-r--r--,3.1 MB,PDF,pdf,,,,,,,,application/pdf,,,,,converted,/,,from application/x-indesign to application/pdf,Adobe InDesign CS6 (Macintosh),2013:08:26 16:18:11-05:00,,,,uuid:1b78c574-84dc-b948-b423-286892c942ec,,,Yes,,,,,,,,,,,2013:08:26 16:18:37-05:00,application/pdf,2013:08:26 16:18:37-05:00,,adobe:docid:indd:63f10e75-5521-11df-a00a-9b9688600051,6,,,,,,,1.4,,Adobe PDF Library 10.0.1,proof:pdf,,,,,,,,,,,,,,,,,Yes,,,,,,False,,"Adobe XMP Core 5.3-c011 66.145661, 2012/02/06-14:56:27        "
583328.pdf,,,,,2013:10:16 17:12:46-05:00,,,,,,,,,.,,uuid:5cf78de6-39fe-7c4a-9c79-2192af7315b5,,10.80,2024:04:18 13:18:28-04:00,2024:04:18 13:18:28-04:00,2024:04:18 13:18:28-04:00,583328.pdf,rw-r--r--,4.5 MB,PDF,pdf,,,,,,,,application/pdf,,,,,,,,,,,,,,uuid:b4b98ce2-d675-1046-9189-2e738eb987f1,,,Yes,,,,,,,,,,,2013:10:16 17:12:46-05:00,application/pdf,2013:10:16 17:12:46-05:00,,,6,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,No,,,,,,,,"Adobe XMP Core 5.2-c001 63.139439, 2010/09/27-13:37:26        "
61.pdf,,,,,2013:10:09 11:06:14-05:00,,,,,,,,,.,,uuid:82c591ea-ebcc-884e-be0d-e5495aaa5648,,10.80,2024:04:18 13:18:41-04:00,2024:04:18 13:18:42-04:00,2024:04:18 13:18:42-04:00,61.pdf,rw-r--r--,1474 kB,PDF,pdf,,,,,,,,application/pdf,,,,,,,,,,,,,,uuid:17e2763c-0690-704e-8cdd-e493442aebac,,,No,,,,,,,,,,,2013:10:09 11:48:12-05:00,application/pdf,2013:10:09 11:48:12-05:00,,,2,,,,,,,1.6,,,,,,,,,,,,,,,,,,,,No,,,,,,,,"Adobe XMP Core 5.2-c001 63.139439, 2010/09/27-13:37:26        "
67.pdf,,,,,2013:10:09 14:14:11-05:00,Adobe InDesign CS6 (Macintosh),,Adobe InDesign CS6 (Macintosh),xmp.did:B19A0CC0D320681180838A50BB6AFB6E,xmp.iid:B2D652400D206811822AD9CEFD47B34E,xmp.did:3D5DACCA0E2068118083964585FC205D,default,,.,,xmp.id:FB7F117407206811822AA42295E85996,,10.80,2024:04:18 13:18:28-04:00,2024:04:18 13:18:29-04:00,2024:04:18 13:18:29-04:00,67.pdf,rw-r--r--,1774 kB,PDF,pdf,,,,,,,,application/pdf,,,,,converted,/,,from application/x-indesign to application/pdf,Adobe InDesign CS6 (Macintosh),2013:10:09 14:14:11-05:00,,,,uuid:11f2348d-edee-5140-8a24-c5e9ca92fd61,,,No,,,,,,,,,,,2013:10:16 09:37:15-05:00,application/pdf,2013:10:16 09:37:15-05:00,,xmp.did:3D5DACCA0E2068118083964585FC205D,5,,,,,,,1.5,,Adobe PDF Library 10.0.1,proof:pdf,,,,,,,,,,,,,,,,,Yes,,,,,,False,,"Adobe XMP Core 5.2-c001 63.139439, 2010/09/27-13:37:26        "
801753.pdf,,,,,2013:11:13 08:53:14-06:00,Adobe InDesign CS6 (Macintosh),,Adobe InDesign CS6 (Macintosh),xmp.did:A7556CB10A2068118083AA4627A00CF9,xmp.iid:E85DB4B9122068118083AA4627A00CF9,adobe:docid:indd:63f10e75-5521-11df-a00a-9b9688600051,default,,.,,xmp.id:E95DB4B9122068118083AA4627A00CF9,,10.80,2024:04:18 13:18:25-04:00,2024:04:18 13:18:25-04:00,2024:04:18 13:18:25-04:00,801753.pdf,rw-r--r--,2.2 MB,PDF,pdf,,,,,,,,application/pdf,,,,,converted,/,,from application/x-indesign to application/pdf,Adobe InDesign CS6 (Macintosh),2013:11:13 08:53:14-06:00,,,,uuid:2dc2738a-05de-8046-97a4-cb70c9e0a1b1,,,No,,,,,,,,,,,2013:11:13 09:01:02-06:00,application/pdf,2013:11:13 09:01:02-06:00,,adobe:docid:indd:63f10e75-5521-11df-a00a-9b9688600051,6,,,,,,,1.6,,Adobe PDF Library 10.0.1,proof:pdf,,,,,,,,,,,,,,,,,Yes,,,,,,False,,"Adobe XMP Core 5.2-c001 63.139439, 2010/09/27-13:37:26        "
81.pdf,,,,,2013:10:31 11:08:06-05:00,Adobe InDesign CS6 (Macintosh),,Adobe InDesign CS6 (Macintosh),xmp.did:C463457A2F206811822A98E1F10825AA,xmp.iid:188AC8BC35206811822ACED348E61DC7,adobe:docid:indd:16512a2c-f8e9-11dd-9378-ae0a9499fc89,default,,.,,xmp.id:09801174072068118083DC56D8E25F0B,,10.80,2024:04:18 13:18:45-04:00,2024:04:18 13:18:45-04:00,2024:04:18 13:18:45-04:00,81.pdf,rw-r--r--,738 kB,PDF,pdf,,,,,,,,application/pdf,,,,,converted,/,,from application/x-indesign to application/pdf,Adobe InDesign CS6 (Macintosh),2013:10:31 11:08:06-05:00,,,,uuid:0fa88973-8f33-dd44-8418-c2e06c54cd33,,,Yes,,,,,,,,,,,2013:10:31 11:08:12-05:00,application/pdf,2013:10:31 11:08:12-05:00,,adobe:docid:indd:16512a2c-f8e9-11dd-9378-ae0a9499fc89,2,,,,,,,1.5,,Adobe PDF Library 10.0.1,proof:pdf,,,,,,,,,,,,,,,,,Yes,,,,,,False,,"Adobe XMP Core 5.3-c011 66.145661, 2012/02/06-14:56:27        "
831065.pdf,,,,,2013:09:18 12:01:57-05:00,,,,,,,,,.,,uuid:cd5d0036-f1fb-3041-a5bd-ebd6598156d2,,10.80,2024:04:18 13:18:36-04:00,2024:04:18 13:18:36-04:00,2024:04:18 13:18:36-04:00,831065.pdf,rw-r--r--,4.8 MB,PDF,pdf,,,,,,,,application/pdf,,,,,,,,,,,,,,uuid:cc09668b-a949-eb48-a63e-ae7c645d661e,,,No,,,,,,,,,,,2013:09:18 12:10:32-05:00,application/pdf,2013:09:18 12:10:32-05:00,,,14,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,No,,,,,,,,"Adobe XMP Core 5.2-c001 63.139439, 2010/09/27-13:37:26        "
908699.pdf,,,,,2013:09:23 13:17:46-05:00,Adobe InDesign CS6 (Macintosh),,Adobe InDesign CS6 (Macintosh),xmp.did:F6FE0E450A206811822AEC45D3E6FCE0,xmp.iid:5CD32DBE19206811822AEC45D3E6FCE0,adobe:docid:indd:63f10e75-5521-11df-a00a-9b9688600051,default,,.,,xmp.id:5DD32DBE19206811822AEC45D3E6FCE0,,10.80,2024:04:18 13:18:29-04:00,2024:04:18 13:18:30-04:00,2024:04:18 13:18:30-04:00,908699.pdf,rw-r--r--,2.6 MB,PDF,pdf,,,,,,,,application/pdf,,,,,converted,/,,from application/x-indesign to application/pdf,Adobe InDesign CS6 (Macintosh),2013:09:23 13:17:46-05:00,,,,uuid:63ed7abe-5772-3246-9871-d2972b531ade,,,Yes,,,,,,,,,,,2013:09:23 13:18:05-05:00,application/pdf,2013:09:23 13:18:05-05:00,,adobe:docid:indd:63f10e75-5521-11df-a00a-9b9688600051,6,,,,,,,1.4,,Adobe PDF Library 10.0.1,proof:pdf,,,,,,,,,,,,,,,,,Yes,,,,,,False,,"Adobe XMP Core 5.3-c011 66.145661, 2012/02/06-14:56:27        "
933747.pdf,,,,,2013:08:21 12:13:13-05:00,Adobe InDesign CS6 (Macintosh),,Adobe InDesign CS6 (Macintosh),xmp.did:53571A7407206811822A819B369BDBED,xmp.iid:53571A7407206811822A819B369BDBED,xmp.did:F77F117407206811822AF4CC3130AA1E,default,,.,,xmp.id:54571A7407206811822A819B369BDBED,,10.80,2024:04:18 13:18:32-04:00,2024:04:18 13:18:32-04:00,2024:04:18 13:18:32-04:00,933747.pdf,rw-r--r--,4.6 MB,PDF,pdf,,,,,,,,application/pdf,,,,,converted,/,,from application/x-indesign to application/pdf,Adobe InDesign CS6 (Macintosh),2013:08:21 12:13:13-05:00,,,,uuid:99a8d7c6-52fe-e54e-8f96-4a8b598110c5,,,No,,,,,,,,,,,2013:08:22 12:17:47-05:00,application/pdf,2013:08:22 12:17:47-05:00,,xmp.did:F77F117407206811822AF4CC3130AA1E,8,,,,,,,1.5,,Adobe PDF Library 10.0.1,proof:pdf,,,,,,,,,,,,,,,,,Yes,,,,,,False,,"Adobe XMP Core 5.2-c001 63.139439, 2010/09/27-13:37:26        "
AChildIsBorn.pdf,,,,,2014:01:27 14:17:24-06:00,,,,,,,,,.,,uuid:b1ae42a5-32e4-5649-9266-a636a0b790f8,,10.80,2024:04:18 13:18:43-04:00,2024:04:18 13:18:44-04:00,2024:04:18 13:18:44-04:00,AChildIsBorn.pdf,rw-r--r--,1428 kB,PDF,pdf,,,,,,,,application/pdf,,,,,,,,,,,,,,uuid:3db3e7db-2203-bd4a-b166-a45c942cefe1,,,No,,,,,,,,,,,2014:01:27 14:32:16-06:00,application/pdf,2014:01:27 14:32:16-06:00,,,2,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adobe XMP Core 5.2-c001 63.139439, 2010/09/27-13:37:26        "
