SourceFile,BlueMatrixColumn,BlueTRC,CMMFlags,ColorSpaceData,ConnectionSpaceIlluminant,CreateDate,Creator,CreatorTool,DerivedFromDocumentID,DerivedFromInstanceID,DerivedFromOriginalDocumentID,DerivedFromRenditionClass,DeviceAttributes,DeviceManufacturer,DeviceMfgDesc,DeviceModel,DeviceModelDesc,Directory,DocumentID,Error,ExifToolVersion,FileAccessDate,FileInodeChangeDate,FileModifyDate,FileName,FilePermissions,FileSize,FileType,FileTypeExtension,Format,GreenMatrixColumn,GreenTRC,HasXFA,HistoryAction,HistoryChanged,HistoryParameters,HistorySoftwareAgent,HistoryWhen,InstanceID,Language,Linearized,Luminance,MeasurementBacking,MeasurementFlare,MeasurementGeometry,MeasurementIlluminant,MeasurementObserver,MediaBlackPoint,MediaWhitePoint,MetadataDate,MIMEType,ModifyDate,OriginalDocumentID,PageCount,PDFVersion,PrimaryPlatform,Producer,ProfileClass,ProfileCMMType,ProfileConnectionSpace,ProfileCopyright,ProfileCreator,ProfileDateTime,ProfileDescription,ProfileFileSignature,ProfileID,ProfileVersion,RedMatrixColumn,RedTRC,RenderingIntent,RenditionClass,TaggedPDF,Technology,Trapped,ViewingCondDesc,ViewingCondIlluminant,ViewingCondIlluminantType,ViewingCondSurround,XMPToolkit
343750-flyer.pdf,,,,,,2021:04:08 13:56:09-06:00,,,,,,,,,,,,.,,,12.70,2024:04:17 16:56:19-04:00,2024:04:17 16:56:20-04:00,2024:04:17 16:56:20-04:00,343750-flyer.pdf,-rw-r--r--,625 kB,PDF,pdf,,,,,,,,,,,,No,,,,,,,,,,application/pdf,2021:04:08 13:56:09-06:00,,1,1.3,,dompdf <75f13c70> + CPDF,,,,,,,,,,,,,,,,,,,,,,
343790-flyer.pdf,,,,,,2021:04:13 09:08:13-06:00,,,,,,,,,,,,.,,,12.70,2024:04:17 16:54:03-04:00,2024:04:17 16:54:03-04:00,2024:04:17 16:54:03-04:00,343790-flyer.pdf,-rw-r--r--,625 kB,PDF,pdf,,,,,,,,,,,,No,,,,,,,,,,application/pdf,2021:04:13 09:08:13-06:00,,1,1.3,,dompdf <75f13c70> + CPDF,,,,,,,,,,,,,,,,,,,,,,
344333-flyer.pdf,,,,,,2021:04:18 07:40:03-06:00,,,,,,,,,,,,.,,,12.70,2024:04:17 16:55:34-04:00,2024:04:17 16:55:34-04:00,2024:04:17 16:55:34-04:00,344333-flyer.pdf,-rw-r--r--,625 kB,PDF,pdf,,,,,,,,,,,,No,,,,,,,,,,application/pdf,2021:04:18 07:40:03-06:00,,1,1.3,,dompdf <75f13c70> + CPDF,,,,,,,,,,,,,,,,,,,,,,
345128-flyer.pdf,,,,,,2021:04:22 13:56:08-06:00,,,,,,,,,,,,.,,,12.70,2024:04:17 16:56:34-04:00,2024:04:17 16:56:34-04:00,2024:04:17 16:56:34-04:00,345128-flyer.pdf,-rw-r--r--,625 kB,PDF,pdf,,,,,,,,,,,,No,,,,,,,,,,application/pdf,2021:04:22 13:56:08-06:00,,1,1.3,,dompdf <75f13c70> + CPDF,,,,,,,,,,,,,,,,,,,,,,
345826-flyer.pdf,,,,,,2021:05:04 14:52:04-06:00,,,,,,,,,,,,.,,,12.70,2024:04:17 16:56:32-04:00,2024:04:17 16:56:32-04:00,2024:04:17 16:56:32-04:00,345826-flyer.pdf,-rw-r--r--,625 kB,PDF,pdf,,,,,,,,,,,,No,,,,,,,,,,application/pdf,2021:05:04 14:52:04-06:00,,1,1.3,,dompdf <75f13c70> + CPDF,,,,,,,,,,,,,,,,,,,,,,
346199-flyer.pdf,,,,,,2021:05:11 09:36:11-06:00,,,,,,,,,,,,.,,,12.70,2024:04:17 16:53:45-04:00,2024:04:17 16:53:46-04:00,2024:04:17 16:53:46-04:00,346199-flyer.pdf,-rw-r--r--,625 kB,PDF,pdf,,,,,,,,,,,,No,,,,,,,,,,application/pdf,2021:05:11 09:36:11-06:00,,1,1.3,,dompdf <75f13c70> + CPDF,,,,,,,,,,,,,,,,,,,,,,
346380-flyer.pdf,,,,,,2021:05:11 09:04:08-06:00,,,,,,,,,,,,.,,,12.70,2024:04:17 16:54:11-04:00,2024:04:17 16:54:12-04:00,2024:04:17 16:54:12-04:00,346380-flyer.pdf,-rw-r--r--,625 kB,PDF,pdf,,,,,,,,,,,,No,,,,,,,,,,application/pdf,2021:05:11 09:04:08-06:00,,1,1.3,,dompdf <75f13c70> + CPDF,,,,,,,,,,,,,,,,,,,,,,
348204-flyer.pdf,,,,,,2021:06:22 17:12:03-06:00,,,,,,,,,,,,.,,,12.70,2024:04:17 16:55:28-04:00,2024:04:17 16:55:28-04:00,2024:04:17 16:55:28-04:00,348204-flyer.pdf,-rw-r--r--,625 kB,PDF,pdf,,,,,,,,,,,,No,,,,,,,,,,application/pdf,2021:06:22 17:12:03-06:00,,1,1.3,,dompdf <75f13c70> + CPDF,,,,,,,,,,,,,,,,,,,,,,
349818-flyer.pdf,,,,,,2021:07:21 09:52:14-06:00,,,,,,,,,,,,.,,,12.70,2024:04:17 16:55:49-04:00,2024:04:17 16:55:49-04:00,2024:04:17 16:55:49-04:00,349818-flyer.pdf,-rw-r--r--,625 kB,PDF,pdf,,,,,,,,,,,,No,,,,,,,,,,application/pdf,2021:07:21 09:52:14-06:00,,1,1.3,,dompdf <75f13c70> + CPDF,,,,,,,,,,,,,,,,,,,,,,
350098-flyer.pdf,,,,,,2021:07:23 10:16:18-06:00,,,,,,,,,,,,.,,,12.70,2024:04:17 16:54:35-04:00,2024:04:17 16:54:37-04:00,2024:04:17 16:54:37-04:00,350098-flyer.pdf,-rw-r--r--,625 kB,PDF,pdf,,,,,,,,,,,,No,,,,,,,,,,application/pdf,2021:07:23 10:16:18-06:00,,1,1.3,,dompdf <75f13c70> + CPDF,,,,,,,,,,,,,,,,,,,,,,
