SourceFile,CreateDate,Author,Creator,CreatorTool,Producer
AdobeSWFOptimizationGuidelines.pdf,2006:10:27 11:32:26-07:00,Christopher Parsons,TextEdit,,Mac OS X 10.4.8 Quartz PDFContext
FullEpisodePlayerMediakitforAffiliateAdvertisers.pdf,2008:03:31 12:06:36-07:00,nsatter,nsatter,Acrobat PDFMaker 8.1 for Word,Acrobat Distiller 8.1.0 (Windows)
Goldbergs_Postcard_3.pdf,2015:05:01 09:52:54-07:00,,Adobe InDesign CC 2014 (Macintosh),Adobe InDesign CC 2014 (Macintosh),Adobe PDF Library 11.0
GreysAnatomy_2015_Countdown_Calendar.pdf,2015:08:24 14:43:10-07:00,,Adobe Photoshop CC 2014 (Macintosh),Adobe Photoshop CC 2014 (Macintosh),Adobe Photoshop for Macintosh -- Image Conversion Plug-in
HowToGetAwayWithMurder_2015_Countdown_Calendar.pdf,2015:08:24 15:38:26-07:00,,Adobe Photoshop CC 2014 (Macintosh),Adobe Photoshop CC 2014 (Macintosh),Adobe Photoshop for Macintosh -- Image Conversion Plug-in
OnceUponaTime_2015_Countdown_Calendar.pdf,2015:08:24 14:02:20-07:00,,Adobe Photoshop CC 2014 (Macintosh),Adobe Photoshop CC 2014 (Macintosh),Adobe Photoshop for Macintosh -- Image Conversion Plug-in
Once_Upon_a_Time_Reds_Untold_Tale_Chapter_1.pdf,2015:07:23 15:16:52-07:00,susangerber,susangerber,Adobe InDesign CC 2014 (Macintosh),Acrobat Distiller 11.0 (Macintosh)
